ukb_code	fg_code	fg_name	category_fg	category_meta	description_ukb	description_more_ukb
2129					Answered sexual history questions	"ACE touchscreen question ""The next section contains questions about your sexual history. If you feel that a question is too sensitive, you can skip the question or skip the entire section if you prefer."""
2159					Ever had same-sex intercourse	"ACE touchscreen question ""Have you ever had sexual intercourse with someone of the same sex?"" If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal, oral or anal intercourse.      ~F2159~ was collected from all participants except those who indicated they never had had sexual intercourse, as defined by their answers to ~F2139~"
2188					Long-standing illness, disability or infirmity	"ACE touchscreen question ""Do you have any long-standing illness, disability or infirmity?"""
22006					Genetic ethnic grouping	Genetic ethnic group.   Indicates samples who self-identified as 'White British' according to ~F21000~ and have very similar genetic ancestry based on a principal components analysis of the genotypes.
2207					Wears glasses or contact lenses	"ACE touchscreen question ""Do you wear glasses or contact lenses to correct your vision?"""
22126					Doctor diagnosed hayfever or allergic rhinitis	"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""hayfever or allergic rhinitis"" was one of the options listed."
22127					Doctor diagnosed asthma	"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""asthma"" was one of the options listed."
22128					Doctor diagnosed emphysema	"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""emphysema"" was one of the options listed."
22129					Doctor diagnosed chronic bronchitis	"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""chronic bronchitis"" was one of the options listed."
22130					Doctor diagnosed COPD (chronic obstructive pulmonary disease)	"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""COPD (Chronic Obstructive Pulmonary Disease)"" was one of the options listed."
22133					Doctor diagnosed sarcoidosis	"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""sarcoidosis"" was one of the options listed."
22134					Doctor diagnosed bronchiectasis	"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""bronchiectasis"" was one of the options listed."
22135					Doctor diagnosed idiopathic pulmonary fibrosis	"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""idiopathic pulmonary fibrosis"" was one of the options listed."
22137					Doctor diagnosed tuberculosis	"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""tuberculosis"" was one of the options listed."
22140					Doctor diagnosed lung cancer (not mesothelioma)	"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""lung cancer (not mesothelioma)"" was one of the options listed."
22166					Recent medication for hayfever or allergic rhinitis	User asked whether they are currently on medication for the hayfever or allergic rhinitis which was diagnosed by a doctor
22167					Recent medication for asthma	User asked whether they are currently on medication for the asthma which was diagnosed by a doctor
22169					Recent medication for chronic bronchitis	User asked whether they are currently on medication for the chronic bronchitis which was diagnosed by a doctor
22170					Recent medication for COPD (Chronic Obstructive Pulmonary Disease)	User asked whether they are currently on medication for the COPD (Chronic Obstructive Pulmonary Disease) which was diagnosed by a doctor
22174					Recent medication for bronchiectasis	User asked whether they are currently on medication for the bronchiectasis which was diagnosed by a doctor
2227					Other eye problems	"ACE touchscreen question ""Do you have any other problems with your eyes or eyesight?"""
2247					Hearing difficulty/problems	"ACE touchscreen question ""Do you have any difficulty with your hearing?"" The option to identify oneself as completely deaf was added in 2009 alongside the introduction of the speech-in-noise test."
22502					Cough on most days	"Participant asked "" Do you cough on most days?"""
22504					Bring up phlegm/sputum/mucus on most days	"Participant asked ""Do you bring up phlegm/sputum/mucus on most days?"""
22506					Tobacco smoking	"Participants asked ""Do you smoke tobacco now?"""
2257					Hearing difficulty/problems with background noise	"ACE touchscreen question ""Do you find it difficult to follow a conversation if there is background noise (such as TV, radio, children playing)?"" ~F2257~ was collected from all participants except those who indicated they were completely deaf, as defined by their answers to ~F2247~"
22604					Work hours - lumped category	"Participants were asked ""On average, how many hours a week did you work?"". They were able to select a lumped category or enter a precise number of hours. This field captures the results for participants who selected a lumped category."
22606					Workplace very noisy	"Participant asked ""Thinking about the place where you worked: Was it very noisy?"" Participants were allowed to skip answering this question."
22607					Workplace very cold	"Participant asked ""Thinking about the place where you worked: Was it very cold?""  Participants were allowed to skip answering this question."
22608					Workplace very hot	"Participant asked ""Thinking about the place where you worked: Was it very hot?""  Participants were allowed to skip answering this question."
22609					Workplace very dusty	"Participant asked ""Thinking about the place where you worked: Was it very dusty?""  Participants were allowed to skip answering this question."
22610					Workplace full of chemical or other fumes	"Participant asked ""Thinking about the place where you worked: Was it full of chemical or other fumes?""  Participants were allowed to skip answering this question."
22611					Workplace had a lot of cigarette smoke from other people smoking	"Participant asked ""Thinking about the place where you worked: Was there a lot of cigarette smoke from other people smoking?""  Participants were allowed to skip answering this question."
22612					Worked with materials containing asbestos	"Participant asked ""Thinking about the place where you worked: Did you work with materials containing asbestos?""  Participants were allowed to skip answering this question."
22613					Worked with paints, thinners or glues	"Participant asked ""Thinking about the place where you worked: Did you work with paints, thinners or glues?""  Participants were allowed to skip answering this question."
22614					Worked with pesticides	"Participant asked ""Thinking about the place where you worked: Did you work with pesticides?""  Participants were allowed to skip answering this question."
22615					Workplace had a lot of diesel exhaust	"Participant asked ""Thinking about the place where you worked: Was there a lot of diesel exhaust?""  Participants were allowed to skip answering this question."
22616					Breathing problems during period of job	"Particpant asked: ""When you had this job, did you have problems with your breathing?"""
22618					Breathing problems improved/stopped away from workplace or on holiday	"Participants who indicated they had breathing problems during a job were asked:   ""Did these problems improve or stop when you were away from the workplace or on holiday?""   Question only asked if participant has value Yes in ~F22616~"
22619					Breathing problems responsible for leaving job	"Participants who indicated they had breathing problems during a job were asked:   ""Did you leave this job because of breathing problems?""  Question only asked if participant has value Yes in ~F22616~"
22620					Job involved shift work	"Participants were asked: ""Did you ever work shifts (day and/or night shifts) for this job?""   Day-shifts were defined as work in nomal daytime hours or morning, afternoon or evening work.   Night-shifts were defined as work for at least 3 hours between midnight and 5am."
22630					Day shifts worked	"Participants were asked: ""Which shift pattern(s) did you follow for this job?""   Participants who indicated they worked day shifts were then asked: ""Did you work day shifts for the whole of this job?""   Day-shifts were defined as work in nomal daytime hours or morning, afternoon or evening work."
22640					Mixture of day and night shifts worked	"Participants were asked: ""Which shift pattern(s) did you follow for this job?""   Participants who indicated they worked a mixture of day and night shifts were then asked: ""Did you work a mixture of day and night shifts for the whole of this job?""   Day-shifts were defined as work in nomal daytime hours or morning, afternoon or evening work.   Night-shifts were defined as work for at least 3 hours between midnight and 5am."
22650					Night shifts worked	"Participants were asked: ""Which shift pattern(s) did you follow for this job?""  Participants who indicated they worked night shifts were then asked: ""Did you work night shifts for the whole of this job?""   Night-shifts were defined as work for at least 3 hours between midnight and 5am."
22660					Gap coding	"Participants were asked what they did in any periods when they were not working in paid employment for at least 20 hours each week. These periods were called ""gaps""."
2316					Wheeze or whistling in the chest in last year	"ACE touchscreen question ""In the last year have you ever had wheeze or whistling in the chest?"""
2335					Chest pain or discomfort	"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
2345					Ever had bowel cancer screening	"ACE touchscreen question ""Have you ever had a screening test for bowel (colorectal) cancer? (Please include tests for blood in the stool/faeces or a colonoscopy or a sigmoidoscopy)"" If the participant activated the Help button they were shown the message:     Screening tests for bowel or colorectal cancer include:  - FOBT (faecal occult blood test) - this is when you    are given a set of cards and asked to smear a part    of your stool on three separate occasions onto the    cards and then return the cards to be tested for    blood.  - Sigmoidoscopy - a tube is used to examine the lower    bowel. This is usually done in a doctor's office    without pain relief.  - Colonoscopy - a long tube is used the examine the    whole large bowel; you would usually have to drink    a large amount of special liquid to prepare the    bowel, and you would be given a sedative medication    for the procedure."
2365					Ever had prostate specific antigen (PSA) test	"ACE touchscreen question ""Have you ever had a blood test for prostate cancer (prostate specific antigen or PSA test)?"" If the participant activated the Help button they were shown the message:     If you are unsure, select Do not know."
2395					Hair/balding pattern	"ACE touchscreen question ""Which of the following best describes your hair/balding pattern?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.  [Illustrations presented in this question have been adapted from Giles et al. 2002 Cancer Epidemiol Biomarkers Prev]"
24014					Close to major road	Indicator variable indicating whether a residential address is within 50 metres of a class 1 or 2 type road and/or within 100 metres of a class 0 road, based upon central road network. The Central road network is taken from Eurostreets version 3.1 digital road network (scale 1:10000), derived from the TeleAtlas MultiNet TM dataset for the year 2008. All roads of class 0, 1 and 2 (motorways, main roads of major importance and other main roads) were classified as major roads. Based upon local knowledge classes 3 and 4 (secondary roads and local connecting roads) were also classified as major roads.
2415					Had major operations	"ACE touchscreen question ""Have you had any major operations? (For example, operations that required an overnight stay in hospital)"" If the participant activated the Help button they were shown the message:     If you are unsure if you have had a 'major' operation select Do not know and you will be asked about this by an interviewer later during this visit.      ~F2415~ is male question equivalent of female question ~F2844~"
2443					Diabetes diagnosed by doctor	"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?"" If the participant activated the Help button they were shown the message:     If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit."
2453					Cancer diagnosed by doctor	"ACE touchscreen question ""Has a doctor ever told you that you have had cancer?"" If the participant activated the Help button they were shown the message:     If you are unsure if you have been told you had cancer, select Do not know and you will be asked about this by an interviewer later during this visit."
2463					Fractured/broken bones in last 5 years	"ACE touchscreen question ""Have you fractured/broken any bones in the last 5 years?"""
2473					Other serious medical condition/disability diagnosed by doctor	"ACE touchscreen question ""Has a doctor ever told you that you have had any other serious medical conditions or disabilities?"" If the participant activated the Help button they were shown the message:     If you are not sure if you have a serious illness or you are not sure that you have had one of the conditions listed previously, enter Do not know and you will be asked about this by an interviewer later in this visit."
2492					Taking other prescription medications	"ACE touchscreen question ""Do you regularly take any other PRESCRIPTION medications? (Do not forget medications such as puffers or patches)"""
2644					Light smokers, at least 100 smokes in lifetime	"ACE touchscreen question ""In your lifetime, have you smoked a total of at least 100 times?"" ~F2644~ was collected from participants who indicated they smoked occasionally or Just tried once or twice, as defined by their answers to ~F1249~"
2654					Non-butter spread type details	"ACE touchscreen question ""What type of spread do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of spread, please select the one that you use the most. If you are unsure, select Do not know.      ~F2654~ was collected from participants who indicated they mainly use another type of spread/margarine rather than butter/spreadable butter or do not know what they use, as defined by their answers to ~F1428~"
2664					Reason for reducing amount of alcohol drunk	"ACE touchscreen question ""Why did you reduce the amount you drank?"" ~F2664~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~ and they drink less nowadays than 10 years ago, as defined by their answers to ~F1558~"
2724					Had menopause	"ACE touchscreen question ""Have you had your menopause (periods stopped)?"""
2814					Ever used hormone-replacement therapy (HRT)	"ACE touchscreen question ""Have you ever used hormone replacement therapy (HRT)?"""
2834					Bilateral oophorectomy (both ovaries removed)	"ACE touchscreen question ""Have you had BOTH ovaries removed?"" If the participant activated the Help button they were shown the message:     Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know."
2844					Had other major operations	"ACE touchscreen question ""Have you had any other major operations? (for example, operations that required an overnight stay in hospital)"" If the participant activated the Help button they were shown the message:     If you are unsure if you have had a 'major' operation select Do not know and you will be asked about this by an interviewer later during this visit.        The  other  refers to operations other than hysterectomy and bilateral oophorectomy."
2877					Type of tobacco previously smoked	"ACE touchscreen question ""What type of tobacco did you usually smoke?"" If the participant activated the Help button they were shown the message:     If you smoked both hand-rolled and manufactured cigarettes select the one that you smoked more of.      ~F2877~ was collected from participants who indicated that in the past they smoked on most or all days, as defined by their answers to ~F1249~"
2907					Ever stopped smoking for 6+ months	"ACE touchscreen question ""In the time that you smoked, did you ever stop for more than 6 months?"" ~F2907~ was collected from participants who indicated that in the past they smoked tobacco on most or all days, as defined by their answers to ~F1249~"
2956					General pain for 3+ months	"ACE touchscreen question ""Have you had pains all over the body for more than 3 months?"" ~F2956~ was collected from participants who indicated that in the last month they experienced pain all over the body that interfered with their usual activities, as defined by their answers to ~F6159~"
2986					Started insulin within one year diagnosis of diabetes	"ACE touchscreen question ""Did you start insulin within one year of your diagnosis of diabetes?"" ~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~"
3005					Fracture resulting from simple fall	"ACE touchscreen question ""Did the fracture result from a simple fall (i.e. from standing height)?"" If the participant activated the Help button they were shown the message:     A simple fall is any fall from standing height or lower. For example if you trip and fall over, this is a simple fall.  Falls from a stool or chair that you are sitting on are also counted as simple.  Falls from anything higher ie: down a flight of stairs, from a ladder, from standing on a stool or chair are NOT simple falls. If you have had more than one fracture in the last 5 years, select YES if any one of the fractures resulted from a simple fall.      ~F3005~ was collected from participants who indicated they have had fractured/broken bones in the last 5 years, as defined by their answers to ~F2463~"
3079					Pace-maker	Participants asked by interviewer if they have a pace-maker before the body impedance measures. Impedance measurement was not performed if they had a pace-maker.
3081					Foot measured for bone density	In the early UK Biobank Assessment Centres only one heel was used to measure bone density, and this field indicates which side it was. In the later assessments, the measurement was conducted on both heels.
3082					Fractured heel	This field indicates whether the heel used to measure bone density had ever been fractured.
3089					Caffeine drink within last hour	Participants were asked whether they had drank caffeine within the hour prior to doing the spirometry test
3090					Used an inhaler for chest within last hour	Participants were asked whether they had used a chest inhaler within the hour prior to doing the spirometry test
3140					Pregnant	Participants asked by interviewer if they might be pregnant before the body impedance measures. Impedance measurement was not performed if they answered Yes or Possibly.
3159					Smoked cigarette or pipe within last hour	Participants were asked whether they had smoked a cigarette or pipe within the hour prior to doing the spirometry test
3393					Hearing aid user	"ACE touchscreen question ""Do you use a hearing aid most of the time?""  Initially this information was collected from all participants answering Yes to either ~F2247~ (~F10793~ in the pilot) or ~F2257~. When the speech-in-noise hearing test was introduced (2009), program logic was altered so that the information was collected from all participants except those who indicated they were completely deaf, as defined by their answers to ~F2247~."
3404					Neck/shoulder pain for 3+ months	"ACE touchscreen question ""Have you had neck or shoulder pains for more than 3 months?"" ~F3404~ was collected from participants who indicated that in the last month they experienced neck or shoulder pain that interfered with their usual activities, as defined by their answers to ~F6159~"
3414					Hip pain for 3+ months	"ACE touchscreen question ""Have you had hip pains for more than 3 months?"" ~F3414~ was collected from participants who indicated that in the last month they experienced hip pain that interfered with their usual activities, as defined by their answers to ~F6159~"
3446					Type of tobacco currently smoked	"ACE touchscreen question ""What type of tobacco do you mainly smoke?"" If the participant activated the Help button they were shown the message:     If you smoke cigarettes and cigars and pipes, please select the type of cigarette you smoke. If you smoke both hand-rolled and manufactured cigarettes select the one that you smoke more of.      ~F3446~ was collected from participants who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
3571					Back pain for 3+ months	"ACE touchscreen question ""Have you had back pains for more than 3 months?"" ~F3571~ was collected from participants who indicated that in the last month they experienced back pain that interfered with their usual activities, as defined by their answers to ~F6159~"
3591					Ever had hysterectomy (womb removed)	"ACE touchscreen question ""Have you had a hysterectomy (womb removed)?"" ~F3591~ was collected from all women except those who indicated they have had a hysterectomy (womb removed), as defined by their answers to ~F2724~"
3606					Chest pain or discomfort walking normally	"ACE touchscreen question ""Do you get this pain or discomfort when you walk at an ordinary pace on the level?"" ~F3606~ was collected from participants who indicated that they get pain or discomfort in their chest, as defined by their answers to ~F2335~"
3616					Chest pain due to walking ceases when standing still	"ACE touchscreen question ""Does this chest pain go away when you stand still?"" ~F3616~ was collected from participants who indicated that they get pain or discomfort in their chest, as defined by their answers to ~F2335~ and either get this pain when they walk at an ordinary pace on the level, as defined by their answers to ~F3606~ or when they walk uphill or in a hurry, as defined by their answers to ~F3751~"
3731					Former alcohol drinker	"ACE touchscreen question ""Did you previously drink alcohol?"" ~F3731~ was collected from participants who indicated they never drink alcohol, as defined by their answers to ~F1558~"
3741					Stomach/abdominal pain for 3+ months	"ACE touchscreen question ""Have you had stomach or abdominal pains for more than 3 months?"" ~F3741~ was collected from participants who indicated that in the last month they experienced stomach or abdominal pain that interfered with their usual activities, as defined by their answers to ~F6159~"
3751					Chest pain or discomfort when walking uphill or hurrying	"ACE touchscreen question ""Do you get this pain or discomfort when you walk uphill or hurry?"" ~F3751~ was collected from participants who indicated that they get pain or discomfort in their chest, as defined by their answers to ~F2335~ but they do not get this pain when they walk at an ordinary pace on the level, as defined by their answers to ~F2335~"
3773					Knee pain for 3+ months	"ACE touchscreen question ""Have you had knee pains for more than 3 months?"" ~F3773~ was collected from participants who indicated that in the last month they experienced knee pain that interfered with their usual activities, as defined by their answers to ~F6159~"
3799					Headaches for 3+ months	"ACE touchscreen question ""Have you had headaches for more than 3 months?"" ~F3799~ was collected from participants who indicated that in the last month they experienced headache that interfered with their usual activities, as defined by their answers to ~F6159~"
3859					Reason former drinker stopped drinking alcohol	"ACE touchscreen question ""Why did you stop drinking alcohol?"" ~F3859~ was collected from participants who indicated that they currently never drink alcohol, as defined by their answers to ~F1558~ and they previously drank alcohol, as defined by their answers to ~F1558~"
3912					Adopted father still alive	"ACE touchscreen question ""Is your ADOPTED father still alive?"" ~F3912~ was collected from participants who indicated they were adopted as a child, as defined by their answers to ~F1767~"
3942					Adopted mother still alive	"ACE touchscreen question ""Is your ADOPTED mother still alive?"" ~F3942~ was collected from participants who indicated they were adopted as a child, as defined by their answers to ~F1767~"
40018					Death record format	Indicates the format of the data in which the original death record was supplied to UK Biobank.
4041					Gestational diabetes only	"ACE touchscreen question ""Did you only have diabetes during pregnancy?"" ~F4041~ was collected from women who indicated that a doctor had told them they had diabetes, as defined by their answers to ~F2443~"
4067					Facial pains for 3+ months	"ACE touchscreen question ""Have you had facial pains for more than 3 months?"" ~F4067~ was collected from participants who indicated that in the last month they experienced facial pain that interfered with their usual activities, as defined by their answers to ~F6159~"
41200					Operative procedures - main OPCS4	This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.
41214					Carer support indicators	This field is a summary of the distinct carer support indicator codes a participant has had recorded across all their episodes in hospital. The carer support indicator identifies whether a carer is available to the patient at their usual place of residence.  This field corresponds to the field CARERSI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41215					Detention categories	This field is a summary of the distinct detention category codes a participant has had recorded in their hospital inpatient records. The detention category identifies the legislation under which the person was detained.  This field corresponds to the field DETNCAT on the HESIN_PSYCH table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN_PSYCH table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN_PSYCH and HESIN tables by adding ~F41289~ and ~F41259~ to their basket.
41218					History of psychiatric care on admission	This field is a summary of the distinct history of psychiatric care codes a participant has had recorded in their hospital inpatient records. History of psychiatric care identifies whether a patient has previously had a psychiatric episode in hospital or not.  This field corresponds to the field ADMISTAT on the HESIN_PSYCH table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN_PSYCH table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN_PSYCH and HESIN tables by adding ~F41289~ and ~F41259~ to their basket.
41219					Anaesthetics administered during delivery	This field is a summary of the distinct anaesthetics during delivery codes a participant has had recorded in their hospital inpatient records. This field identifies, for example, whether a general anaesthetic or an epidural was administered either before or during labour.  This field corresponds to the field DELPREAN on the HESIN_MATERNITY table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN_MATERNITY table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN_MATERNITY and HESIN tables by adding ~F41261~ and ~F41259~ to their basket.
41220					Anaesthetics administered post delivery	This field is a summary of the distinct anaesthetics post delivery codes a participant has had recorded recorded in their hospital inpatient records. This field identifies, for example, whether a general anaesthetic or an epidural was administered after labour or not.  This field corresponds to the field DELPOSAN on the HESIN_MATERNITY table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN_MATERNITY table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN_MATERNITY and HESIN tables by adding ~F41261~ and ~F41259~ to their basket.
41221					Delivery methods	This field is a summary of the distinct delivery method codes a participant has had recorded in their hospital inpatient records. Delivery method identifies the way in which the baby was born.  This field corresponds to the field DELMETH on the HESIN_DELIVERY table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN_DELIVERY table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN_ DELIVERY and HESIN tables by adding ~F41264~ and ~F41259~ to their basket.
41229					PCT responsible for patient data	"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket."
41231					Hospital episode type	This field is a summary of the distinct episode type codes a participant has had recorded in their hospital inpatient records. Hospital episode type identifies whether the period of care in hospital was a general episode or a psychiatric episode, for example. This field is only present in English inpatient data.  This field corresponds to the field EPITYPE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41232					Administrative and legal statuses	This field is a summary of the distinct administrative and legal status codes a participant has had recorded in their hospital inpatient records. Administrative and legal status identifies whether a patient has been formally detained under the Mental Health Act or not. This information is not present in HES records dated after 2001.  This field corresponds to the field CATEGORY on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41244					Intended management of patient (recoded)	This field is a summary of the distinct intended management codes a participant has had recorded in their hospital inpatient records. The intended management of a patient is their planned duration of hospital stay, i.e. whether an overnight stay was anticipated or not.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field INTMANAG_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41245					Main speciality of consultant (recoded)	This field is a summary of the distinct consultant speciality codes a participant has had recorded in their hospital inpatient records. The main speciality of the consultant is the specialism under which the consultant is contracted, e.g. cardiology or geriatric medicine, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field MAINSPEF_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41246					Treatment speciality of consultant (recoded)	This field is a summary of the distinct treatment speciality codes a participant has had recorded in their hospital inpatient records. The treatment speciality of the consultant is specialism under which the consultant was working, e.g. cardiology or geriatric medicine, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field TRETSPEF_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41247					Patient classification on admission (recoded)	This field is a summary of the distinct patient classification codes a participant has had recorded in their hospital inpatient records. Patient classification on admission identifies the type of patient, e.g. whether they are a regular attender or a maternity admission, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field CLASSPAT_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41248					Destinations on discharge from hospital (recoded)	This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41249					Methods of admission to hospital (recoded)	This field is a summary of the distinct method of admission codes a participant has had recorded in their hospital inpatient records. Method of admission to hospital identifies how a patient was admitted, e.g. an elective admission from a waiting list or an emergency admission, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field ADMIMETH_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41250					Methods of discharge from hospital (recoded)	This field is a summary of the distinct method of discharge codes a participant has had recorded in their hospital inpatient records. Method of discharge from hospital identifies how a patient was discharged - i.e. whether this was on clinical advice, the patient died in hospital or the patient discharged themselves.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISMETH_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41251					Sources of admission to hospital (recoded)	This field is a summary of the distinct source of admission codes a participant has had recorded in their hospital inpatient records. Source of admission identifies whether a patient came to the hospital from their usual place of residence or elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field ADMISORC_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
41253					Inpatient record format	This field shows, for each participant, the formats of the data in which the original hospital inpatient records were supplied to UK Biobank.  This field corresponds to the field SOURCE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.
42001					Source of myocardial infarction report	Source of the earliest report of myocardial infarction. The date of this report is given in ~F42000~.
42005					Source of NSTEMI report	Source of the earliest report of Non-ST-Elevation Miocardial Infarction. The date of this report is given in ~F42004~.
42007					Source of stroke report	Source of the earliest report of stroke. The date of this report is given in ~F42006~.
42009					Source of ischaemic stroke report	Source of the earliest report of ischaemic stroke. The date of this report is given in ~F42008~.
4287					Test completion status	
4291					Number of attempts	
4292					PM: initial answer	Participants were allowed up to 2 attempts to correctly recall the colour/shape shown to them earlier in the touchscreen section. This is the first answer they gave.
4293					PM: final answer	Participants were allowed up to 2 attempts to correctly recall the colour/shape shown to them earlier in the touchscreen section. This is the final answer they gave - whether it is their first or second attempt can be gauged from ~F4291~.
4294					Final attempt correct	True if final answer given was correct.
4501					Non-accidental death in close genetic family	"Introduced part way through fieldwork in April 2009.  ACE touchscreen question ""Have any of your mother, father, brothers or sisters died suddenly from a non-accidental cause? (Do not include half-, step- or adopted brothers and sisters)"""
4598					Ever depressed for a whole week	"ACE touchscreen question ""Looking back over your life, have you ever had a time when you were feeling depressed or down for at least a whole week?""  Question was introduced part way through fieldwork in April 2009."
